"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"1994","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python","Couch DB;Dynamodb;MongoDB;SQLite","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","Node.js;Svelte;Vue.js","Legal Services","ChatGPT","Mintlify;Tabnine","Employed"
"1995","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;Go;Java;JavaScript;Lua;Python;Rust;TypeScript","Cosmos DB;Dynamodb;MongoDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner;Microsoft Azure;OVH","Angular;Node.js;React","Wholesale","ChatGPT","Synk Code;Tabnine","Employed"
"1996","Cape Town Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;Kotlin;Ruby;SQL;TypeScript","Elasticsearch;InfluxDB;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Heroku","React;Ruby on Rails","Insurance","ChatGPT","GitHub Copilot;Synk Code","Employed"
"1997","Cape Town Campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;TypeScript","Firebase Realtime Database;MongoDB","Firebase","Express;React","Other","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed"
"1998","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#","Cosmos DB;Microsoft SQL Server;SQLite","Microsoft Azure","Blazor","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Independent contractor"
"1999","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;SQL;TypeScript","Cosmos DB;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Heroku;Microsoft Azure;Vultr","Express;Next.js;Node.js;Nuxt.js;React;Solid.js;Spring Boot;Svelte;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed"
"2000","Pretoria Campus","Data Science","I am learning to code","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;C#;Dart;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","MariaDB;Microsoft SQL Server;MongoDB;SQLite","Linode, now Akamai","Express;Laravel;Next.js;Node.js;React;WordPress","Insurance","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot","Not employed"
"2001","Durban Campus","Data Science","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;C++;Java;PowerShell;Python","Microsoft SQL Server;SQLite","OVH","Flask","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed"
"2002","Nelspruit Campus","Data Science","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Groovy;PowerShell","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Nuxt.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed"
"2003","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server;MySQL","Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;Node.js;React","Insurance","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed"
"2004","Cape Town Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Dynamodb;Elasticsearch;H2;MongoDB;MySQL;Oracle","Amazon Web Services (AWS)","Express;Node.js;React;Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT","Mintlify;Tabnine","Employed"
"2005","Port Elizabeth Campus","IT","I am a developer by profession","Research & Development role","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;Java;JavaScript;Python","Clickhouse;Redis","Google Cloud","Node.js","Insurance","ChatGPT","AWS CodeWhisperer;Synk Code","Employed"
"2006","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;JavaScript;PHP;Python;Rust;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Snowflake;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Linode, now Akamai;Microsoft Azure;Netlify","Django;Express;Flask;jQuery;Next.js;Node.js;React;Remix;WordPress","Wholesale","ChatGPT;Google Bard AI","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Independent contractor"
"2007","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Database administrator","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);SQL","MySQL;Oracle","Oracle Cloud Infrastructure (OCI)","WordPress","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed"
"2008","Pretoria Campus","IT","I am a developer by profession","Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript","Microsoft SQL Server;PostgreSQL;Snowflake","Heroku;Microsoft Azure","Angular","Financial Services","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed"
"2009","Port Elizabeth Campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","PHP;Python","Elasticsearch;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","Laravel;Next.js;Node.js;React;WordPress","Higher Education","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI","Employed"
"2010","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;HTML/CSS;JavaScript;PHP;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;SQLite","Heroku;Render","Node.js;React","Financial Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot","Employed"
"2011","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB","Heroku","Angular;Express;jQuery;NestJS;Node.js;React;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed"
"2012","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Angular;ASP.NET CORE;Blazor;React","Retail and Consumer Services","ChatGPT","Whispr AI","Not employed"
"2013","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;Python","InfluxDB;MariaDB","Cloudflare;Digital Ocean;VMware","React","Legal Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed"
"2014","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA","Microsoft SQL Server;MongoDB","Microsoft Azure","ASP.NET","Other","Bing AI;ChatGPT","Codeium;GitHub Copilot","Employed"
"2015","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;R;TypeScript","BigQuery;PostgreSQL;Redis","Google Cloud;Vercel","Django;Next.js","Information Services, IT, Software Development, or other Technology","ChatGPT;Google Bard AI","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed"
"2016","Port Elizabeth Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Hardware Engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lua;Python;Rust;SQL","MariaDB;Microsoft SQL Server;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify;Oracle Cloud Infrastructure (OCI);VMware","Svelte;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Employed"
"2017","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;Java;JavaScript;Lua;Python;SQL;TypeScript","Elasticsearch;H2;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);IBM Cloud Or Watson;Linode, now Akamai","FastAPI;Flask;Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","GitHub Copilot;Replit Ghostwriter;Tabnine","Employed"
"2018","Nelspruit Campus","IT","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","HTML/CSS;Java;JavaScript;SQL;TypeScript","Elasticsearch;MySQL","Amazon Web Services (AWS);Microsoft Azure","Angular","Other","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed"
"2019","Cape Town Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;Kotlin;Python;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","FastAPI;Flask","Healthcare","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Independent contractor"
"2020","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Kotlin;Rust","MongoDB;MySQL","OpenShift","Spring Boot;Svelte","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Quora Poe","Codeium;GitHub Copilot","Employed"
"2021","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL","Google Cloud","Node.js;React","Healthcare","ChatGPT","GitHub Copilot;Tabnine;Whispr AI","Employed"
"2022","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","React;Spring Boot","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed"
"2023","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, front-end","Associate degree (A.A., A.S., etc.)","C#;HTML/CSS;JavaScript;PHP;SQL;Visual Basic (.Net)","Firebase Realtime Database;MySQL","Amazon Web Services (AWS);Cloudflare;Firebase;Fly.io;Netlify;Vercel","Express;Next.js;Nuxt.js;React;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;Mintlify;Rubber Duck.AI","Not employed"
"2024","Cape Town Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C++;HTML/CSS;Java;JavaScript","MongoDB;MySQL;PostgreSQL","Digital Ocean","Spring Boot","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Employed"
"2025","Cape Town Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript","Cloud Firestore;Firebase Realtime Database","Firebase;Google Cloud;Netlify","Node.js;React;Vue.js","Healthcare","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Independent contractor"
"2026","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;OVH;VMware","jQuery;Node.js;Play Framework;React;Spring Boot;WordPress","Advertising Services","ChatGPT","Codeium;Synk Code;Whispr AI","Employed"
"2027","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL","MySQL;Redis;SQLite","Amazon Web Services (AWS);Heroku","Django;Flask;Laravel;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Synk Code","Employed"
"2028","Port Elizabeth Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;MATLAB;PHP;Python;SQL","Elasticsearch;MariaDB;MySQL","Cloudflare;VMware","CodeIgniter;Express;jQuery;Node.js;React;Solid.js;Symfony;Vue.js","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed"
"2029","Cape Town Campus","IT","I code primarily as a hobby","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Lua;TypeScript","MySQL;PostgreSQL;SQLite","Netlify;Vercel","Fastify;Next.js;React","Wholesale","ChatGPT","Adrenaline;GitHub Copilot","Not employed"
"2030","Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","C#;HTML/CSS;Java;JavaScript;TypeScript","Cloud Firestore;Firebase Realtime Database;MongoDB","Firebase;Heroku;Netlify;Render","Angular;ASP.NET;ASP.NET CORE;FastAPI;Next.js;Node.js;React;Remix","Insurance","ChatGPT;You.com","AWS CodeWhisperer;Synk Code","Employed"
"2031","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL","Cloud Firestore;MariaDB;MySQL;PostgreSQL;SQLite","Cloudflare;Digital Ocean;Firebase;VMware","Laravel;Next.js;Node.js;React;WordPress","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed"
"2032","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;SQL;TypeScript","MariaDB;PostgreSQL;SQLite","Microsoft Azure","Angular;CodeIgniter;Express;Laravel;Next.js;Node.js","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed"
"2033","Port Elizabeth Campus","IT","I used to be a developer by profession, but no longer am","Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;Python;SQL;TypeScript","PostgreSQL;SQLite","Microsoft Azure","Django;React","Wholesale","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed"
"2034","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Dynamodb;Elasticsearch;Firebase Realtime Database;H2;MongoDB;PostgreSQL;Redis;Solr","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku","Django;React;Spring Boot","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Independent contractor"
"2035","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);Go;HTML/CSS;Python;SQL;TypeScript","PostgreSQL;Redis;SQLite","Cloudflare;Digital Ocean;Hetzner","Angular;Django;FastAPI;Flask;WordPress","Higher Education","ChatGPT;You.com","AWS CodeWhisperer;Codeium;GitHub Copilot","Independent contractor"
"2036","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;Python;Scala;SQL","PostgreSQL","Microsoft Azure;OVH","Flask;Node.js;Vue.js","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Employed"
"2037","Durban Campus","IT","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;TypeScript","Clickhouse;Elasticsearch;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS)","Express;Next.js;Node.js;React","Wholesale","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Employed"
"2038","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","Blazor","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed"
"2039","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Java;TypeScript","Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite","Firebase;Google Cloud","Angular;ASP.NET;ASP.NET CORE;Node.js;Vue.js;WordPress","Oil & Gas","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed"
"2040","Cape Town Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;MATLAB;Python;TypeScript","Dynamodb;Firebase Realtime Database;MongoDB","Amazon Web Services (AWS);Firebase;Google Cloud","Angular;AngularJS;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Independent contractor"
"2041","Cape Town Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;HTML/CSS;Java;MATLAB;PowerShell;SQL","Microsoft SQL Server","Managed Hosting;Microsoft Azure","Angular;ASP.NET","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Independent contractor"
"2042","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;SQL;TypeScript","Dynamodb;Elasticsearch;PostgreSQL","Amazon Web Services (AWS)","Express;NestJS","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed"
"2043","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Primary/elementary school","Go;HTML/CSS;JavaScript;PHP;SQL","MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Symfony;Vue.js","Other","Bing AI;ChatGPT;You.com","GitHub Copilot;Replit Ghostwriter;Tabnine","Employed"
"2044","Cape Town Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Supabase","Netlify;Vercel","Next.js;Node.js;React","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed"
"2045","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;C++;Java;JavaScript;PHP;SQL;Swift;VBA;Visual Basic (.Net)","Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MySQL;SQLite","Cloudflare;Firebase;Google Cloud;Linode, now Akamai;Microsoft Azure;VMware","ASP.NET;ASP.NET CORE;Blazor;Node.js;React;WordPress","Advertising Services","Bing AI;ChatGPT;Google Bard AI","Adrenaline","Employed"
"2046","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);JavaScript;SQL;TypeScript","PostgreSQL;Redis","Microsoft Azure","Express;Node.js","Legal Services","WolframAlpha","Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code","Employed"
"2047","Cape Town Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Angular;Express;jQuery;NestJS;Next.js;Node.js","Financial Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed"
"2048","Pretoria Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;PowerShell","Microsoft SQL Server;MongoDB;Redis","Amazon Web Services (AWS)","ASP.NET CORE;Blazor;Express;Node.js;React","Other","Bing AI","AWS CodeWhisperer;Replit Ghostwriter","Employed"
"2049","Port Elizabeth Campus","Data Science","I am learning to code","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB;MySQL","Digital Ocean;Firebase;Google Cloud;Render","Angular;Express;jQuery;Node.js","Higher Education","ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed"
"2050","Cape Town Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Python","Microsoft SQL Server","Microsoft Azure","ASP.NET;ASP.NET CORE;Django","Other","ChatGPT","Rubber Duck.AI;Synk Code","Employed"
"2051","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;HTML/CSS;JavaScript;TypeScript","Cloud Firestore;Firebase Realtime Database","Firebase","Node.js;React","Wholesale","ChatGPT","GitHub Copilot;Synk Code","Employed"
"2052","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Delphi;PHP;SQL","Firebird;MariaDB","Digital Ocean","jQuery","Wholesale","ChatGPT","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Employed"
"2053","Port Elizabeth Campus","IT","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","Assembly;Bash/Shell (all shells);C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift","Firebase Realtime Database;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Microsoft Azure","Spring Boot","Financial Services","WolframAlpha","Codeium;GitHub Copilot","Employed"
"2054","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL","PostgreSQL;Redis","Amazon Web Services (AWS);Linode, now Akamai;Microsoft Azure","Laravel;Next.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","AWS CodeWhisperer;Mintlify","Independent contractor"
"2055","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;HTML/CSS;Java;JavaScript;Lua;SQL;TypeScript","Dynamodb;Firebase Realtime Database;MySQL;PostgreSQL;Supabase","Amazon Web Services (AWS);Microsoft Azure","Express;Node.js;React","Higher Education","ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"2056","Nelspruit Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Academic researcher","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;JavaScript;MATLAB;Python","Elasticsearch;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","Django;Node.js;Vue.js","Oil & Gas","ChatGPT","GitHub Copilot;Tabnine;Whispr AI","Employed"
"2057","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;PowerShell;Python;R;SQL","Microsoft SQL Server;MongoDB;PostgreSQL","Microsoft Azure;Netlify","ASP.NET;ASP.NET CORE;Blazor;Svelte","Wholesale","ChatGPT","Synk Code","Employed"
"2058","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Other","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed"
"2059","Durban Campus","IT","I code primarily as a hobby","Engineering manager","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","GDScript;Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","Couch DB;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Netlify;OVH;Vercel;VMware","Deno;Elm;Express;Fastify;Gatsby;jQuery;Next.js;Node.js;React;Ruby on Rails","Manufacturing, Transportation, or Supply Chain","ChatGPT;WolframAlpha;You.com","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed"
"2060","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;PowerShell;Python;SQL;TypeScript","Microsoft SQL Server;MySQL","Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Node.js","Higher Education","ChatGPT","AWS CodeWhisperer;Tabnine","Employed"
"2061","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Clojure;HTML/CSS;JavaScript;SQL","Datomic;Dynamodb;PostgreSQL;Redis","Amazon Web Services (AWS)","Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;Synk Code;Whispr AI","Employed"
"2062","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;PowerShell;SQL","Cosmos DB;Microsoft SQL Server","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE","Insurance","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed"
"2063","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Python","Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS)","Django;FastAPI;jQuery","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed"
